text,label
"Congratulations! You have won a lottery of $10,000. Click here to claim your prize now!",1
"Your account has been suspended. Verify your details immediately at http://fakebank.com",1
"Free iPhone 15 giveaway! Click the link and enter your OTP to confirm",1
"URGENT: Your bank account will be closed. Send your OTP to 9999 immediately",1
"Dear customer, your KYC is pending. Update now or your account will be blocked",1
"You have received a cash prize. Call us now to claim before it expires",1
"Fake job offer: Work from home and earn 50000 per month. No experience needed. Apply now",1
"Your SIM card will be deactivated. Call 1800-FAKE to reactivate immediately",1
"WIN a free vacation! You are selected. Enter your credit card details to confirm",1
"ALERT: Suspicious login detected. Verify your identity using this link: http://scam.com",1
"Send your Aadhaar and PAN details to claim your government subsidy of Rs 5000",1
"Loan approved! Get Rs 2,00,000 instantly. No documents needed. Pay small fee first",1
"Your electricity bill is overdue. Pay now or service will be disconnected in 2 hours",1
"Hi, can we reschedule our meeting to 3pm tomorrow?",0
"Your order has been shipped and will arrive by Friday",0
"Please find the attached report for this month's review",0
"The project deadline has been extended to next week",0
"Reminder: Team lunch is scheduled for tomorrow at 1pm",0
"Your appointment is confirmed for March 15 at 10am",0
"Thank you for your purchase. Your receipt is attached",0
"The library book you requested is now available for pickup",0
"Your flight booking is confirmed. Check-in opens 24 hours before departure",0
"Happy birthday! Hope you have a wonderful day",0
"The internet will be down for maintenance tonight from 11pm to 1am",0
"Your salary has been credited to your account",0
"Please submit your assignment before the deadline",0
"Congratulations on your promotion! Well deserved",0
"Your password was changed successfully. If this was not you, contact support",0
"Meeting notes from today's session are attached",0
"Your subscription will renew on April 1. No action needed",0